"variable","N","mean","sd","min","p25","median","p75","max"
"sales",300,697.436666666666,276.542543895455,270,470,646.5,893,1389
"price",300,275320,77231.9344940007,160100,219600,251150,321475,460300
"mortgage_rate",300,5.15018333333333,1.3928731625236,2.684,3.948125,4.98625,6.275625,8.515
"income",300,13441.5986666667,2298.38912905541,9799.9,11736.95,12954.95,15247.475,20520
"unrate",300,5.695,1.9613851668082,3.4,4.2,5.1,6.425,14.8
"permit",300,1366.83666666667,446.832138341763,513,1048.5,1401.5,1682.75,2263
"months_supply",300,6.05266666666667,1.96580114355672,3.3,4.4,5.5,7.425,12.2
"construction_cost",300,213.931406666667,57.1753901026709,141.7,178.825,206.3,233.925,353.015
"housing_starts",300,1305.75666666667,431.953504700408,478,1006.5,1315.5,1606,2273
"under_construction",300,1052.44666666667,346.509118281752,414,839,1061,1251.5,1714
"log_sales",300,6.46617068500758,0.410756570517488,5.59842195899838,6.1527326947041,6.47157050657402,6.79457907922101,7.23633934275434
"log_price",300,12.4880219458241,0.273166180839435,11.9835538989848,12.2995629886175,12.4338046781314,12.6806749775209,13.0396337298053
"log_income",300,9.49186709768016,0.168292239894184,9.19012746052497,9.37049726403145,9.46923323179927,9.63216868675299,9.9291552992847
"log_permit",300,7.15647606527356,0.377407138377466,6.24027584517077,6.95511550901486,7.2452952522808,7.42818064152262,7.72444664563354
"log_construction_cost",300,5.33305001456443,0.251322254692278,4.95371214669663,5.18640623559784,5.32933142007721,5.45500012315691,5.86651054894835
"log_starts",300,7.11037926382096,0.376958062812251,6.16961073249146,6.91423387466222,7.18197029468262,7.38150131342118,7.72885582385254
"log_under_construction",300,6.8944774728711,0.379477929380274,6.02586597382531,6.73219143587941,6.96696536197168,7.13209214110527,7.44658509915773
"trend",300,150.5,86.7467578644874,1,75.75,150.5,225.25,300
"trend2",300,30150.1666666667,26961.4635792149,1,5738.25,22650.5,50737.75,90000
